movie_id,title,year,genres,rating,vote_count,popularity,overview,image_url
1,The Shawshank Redemption,1994,Drama,9.3,2800000,156.0,A banker is imprisoned for a crime he did not commit and slowly builds hope and friendship inside prison.,https://image.tmdb.org/t/p/w1280/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg
2,The Godfather,1972,Crime|Drama,9.2,2000000,134.0,The aging patriarch of a powerful crime family transfers control of his empire to his reluctant son.,https://image.tmdb.org/t/p/w1280/3bhkrj58Vtu7enYsRolD1fZdja1.jpg
3,The Dark Knight,2008,Action|Crime|Drama,9.0,3100000,157.5,A masked hero faces a chaotic criminal mastermind who pushes Gotham into a battle over justice and fear.,https://www.themoviedb.org/t/p/w1280/qJ2tW6WMUDux911r6m7haRef0WH.jpg
4,The Godfather Part II,1974,Crime|Drama,9.0,1400000,115.0,The rise of a young immigrant crime boss is contrasted with the struggles of his son to protect the family empire.,https://www.themoviedb.org/t/p/w1280/sSuQTCZwqKrNBNIsksO9IAUoWP9.jpg
5,12 Angry Men,1957,Drama,9.0,900000,102.5,A juror tries to convince the others to reconsider a murder verdict as they debate the evidence in a tense room.,https://www.themoviedb.org/t/p/w1280/zhG3vKWyDRaZYoaww1UVAi29T9h.jpg
6,Schindler's List,1993,Biography|Drama|History,9.0,1500000,117.5,A German businessman gradually risks everything to save Jewish workers during the Holocaust.,https://www.themoviedb.org/t/p/w1280/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg
7,The Lord of the Rings: The Return of the King,2003,Action|Adventure|Drama|Fantasy,9.0,2000000,130.0,Heroes make a final stand against a vast evil army while a small group attempts to destroy a powerful ring.,https://www.themoviedb.org/t/p/w1280/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg
8,Pulp Fiction,1994,Crime|Drama,8.9,3100000,155.5,Several connected stories of criminals hitmen and ordinary people unfold through an unconventional sequence of events.,https://www.themoviedb.org/t/p/w1280/vQWk5YBFWF4bZaofAbv0tShwBvQ.jpg
9,The Lord of the Rings: The Fellowship of the Ring,2001,Action|Adventure|Drama|Fantasy,8.9,2000000,128.0,A young hobbit begins a dangerous journey to destroy a ring that could give its owner control over Middle-earth.,https://www.themoviedb.org/t/p/w1280/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg
10,The Good the Bad and the Ugly,1966,Western,8.8,800000,96.0,Three gunslingers compete to find buried gold during the American Civil War.,https://www.themoviedb.org/t/p/w1280/bX2xnavhMYjWDoZp1VM6VnU1xwe.jpg
11,Forrest Gump,1994,Drama|Romance,8.8,2300000,133.5,A kindhearted man experiences major moments in American history while remaining devoted to his childhood love.,https://www.themoviedb.org/t/p/w1280/Cw4hIUIAmSYfK9QfaUW5igp9La.jpg
12,The Lord of the Rings: The Two Towers,2002,Action|Adventure|Drama|Fantasy,8.8,1900000,123.5,Separated heroes struggle against growing armies while the journey to destroy the ring continues.,https://www.themoviedb.org/t/p/w1280/5VTN0pR8gcqV3EPUHHfMGnJYN9L.jpg
13,Fight Club,1999,Drama,8.8,2400000,136.0,An unhappy office worker forms an underground fighting club that develops into something much more dangerous.,https://www.themoviedb.org/t/p/w1280/jSziioSwPVrOy9Yow3XhWIBDjq1.jpg
14,Inception,2010,Action|Adventure|Sci-Fi|Thriller,8.8,2700000,143.5,A specialist who enters dreams is offered a chance to erase his past by planting an idea inside a target's mind.,https://image.tmdb.org/t/p/w1280/xlaY2zyzMfkhk0HSC5VUwzoZPU1.jpg
15,The Empire Strikes Back,1980,Action|Adventure|Sci-Fi,8.7,1400000,109.0,The heroes of a rebellion face defeat while a young Jedi continues his training against a powerful enemy.,https://image.tmdb.org/t/p/w1280/nNAeTmF4CtdSgMDplXTDPOpYzsX.jpg
16,The Matrix,1999,Action|Sci-Fi,8.7,2100000,126.5,A computer programmer discovers that reality is a simulation and joins a rebellion against its controllers.,https://image.tmdb.org/t/p/w1280/aOIuZAjPaRIE6CMzbazvcHuHXDc.jpg
17,Goodfellas,1990,Biography|Crime|Drama,8.7,1300000,106.5,A young man rises through the ranks of organized crime and discovers the brutal consequences of loyalty and ambition.,https://image.tmdb.org/t/p/w1280/9OkCLM73MIU2CrKZbqiT8Ln1wY2.jpg
18,Interstellar,2014,Adventure|Drama|Sci-Fi,8.7,2400000,134.0,Explorers travel through a wormhole in space searching for a new home for humanity.,https://image.tmdb.org/t/p/w1280/yQvGrMoipbRoddT0ZR8tPoR7NfX.jpg
